name,height,weight,reach,stance
Luana Pinheiro,157.48,52.16,157.48,Orthodox
Uros Medic,185.42,77.11,180.34,Southpaw
Myktybek Orolbai,177.8,70.31,187.96,Orthodox
Jonathan Pearce,182.88,65.77,180.34,Switch
Joanderson Brito,172.72,65.77,182.88,Orthodox
Jose Johnson,182.88,56.7,180.34,Orthodox
Denis Tiuliulin,185.42,83.91,195.58,Orthodox
Caio Machado,193.04,113.4,198.12,Southpaw
Jeka Saragih,172.72,65.77,175.26,Orthodox
Lucas Alexander,180.34,65.77,185.42,Orthodox
Lucie Pudilova,172.72,61.23,170.18,Orthodox
Ailin Perez,165.1,61.23,167.64,Switch
Rafael Estevam,172.72,56.7,175.26,Orthodox
Jiri Prochazka,190.5,92.99,203.2,Orthodox
Alex Pereira,193.04,92.99,200.66,Orthodox
Sergei Pavlovich,190.5,116.57,213.36,Southpaw
Tom Aspinall,195.58,116.12,198.12,Orthodox
Jessica Andrade,154.94,52.16,157.48,Orthodox
Matt Frevola,175.26,70.31,180.34,Orthodox
Diego Lopes,180.34,65.77,182.88,Orthodox
Pat Sabatini,172.72,65.77,177.8,Orthodox
Alessandro Costa,162.56,56.7,170.18,Orthodox
Tabatha Ricci,154.94,52.16,154.94,Orthodox
Loopy Godinez,157.48,52.16,154.94,Orthodox
Mateusz Rebecki,170.18,70.31,167.64,Southpaw
Roosevelt Roberts,187.96,70.31,185.42,Orthodox
Jared Gordon,175.26,70.31,172.72,Orthodox
Mark Madsen,172.72,70.31,182.88,Orthodox
John Castaneda,167.64,61.23,180.34,Switch
Kyung Ho Kang,175.26,61.23,185.42,Orthodox
Kevin Borjas,165.1,56.7,172.72,Orthodox
Dennis Buzukja,175.26,65.77,177.8,Switch
Jamall Emmers,177.8,65.77,187.96,Orthodox
Derrick Lewis,190.5,117.93,200.66,Orthodox
Gabriel Bonfim,185.42,77.11,182.88,Orthodox
Nicolas Dalby,180.34,77.11,187.96,Orthodox
Rodrigo Nascimento,187.96,111.58,203.2,Orthodox
Don'Tale Mayes,198.12,117.93,205.74,Orthodox
Caio Borralho,177.8,83.91,190.5,Southpaw
Abus Magomedov,187.96,83.91,198.12,Orthodox
Elves Brener,177.8,70.31,182.88,Orthodox
Kaynan Kruschewsky,182.88,70.31,185.42,Orthodox
Modestas Bukauskas,190.5,92.99,198.12,Switch
Angela Hill,160.02,52.16,162.56,Orthodox
Denise Gomes,157.48,52.16,160.02,Orthodox
Eduarda Moura,167.64,52.16,167.64,Orthodox
Montserrat Conejo Ruiz,152.4,52.16,154.94,Southpaw
Kaue Fernandes,175.26,70.31,185.42,Orthodox
Marc Diakiese,177.8,70.31,185.42,Orthodox
Islam Makhachev,177.8,70.31,177.8,Southpaw
Kamaru Usman,182.88,77.11,193.04,Switch
Khamzat Chimaev,187.96,83.91,190.5,Orthodox
Ikram Aliskerov,182.88,83.91,193.04,Southpaw
Warlley Alves,180.34,83.91,182.88,Orthodox
Said Nurmagomedov,172.72,61.23,177.8,Orthodox
Muin Gafurov,170.18,61.23,172.72,Southpaw
Mohammad Yahya,175.26,65.77,185.42,Switch
Trevor Peek,175.26,70.31,177.8,Switch
Abu Azaitar,175.26,83.91,193.04,Orthodox
Sedriques Dumas,187.96,83.91,200.66,Orthodox
Mike Breeden,177.8,70.31,177.8,Orthodox
Anshul Jubli,182.88,70.31,175.26,Switch
Nathaniel Wood,167.64,65.77,175.26,Orthodox
Viktoriia Dudakova,165.1,56.7,170.18,Orthodox
Jinh Yu Frey,160.02,52.16,165.1,Southpaw
Shara Magomedov,187.96,83.91,185.42,Orthodox
Bruno Silva,182.88,83.91,187.96,Orthodox
Sodiq Yusuff,175.26,65.77,180.34,Orthodox
Edson Barboza,180.34,65.77,190.5,Orthodox
Jennifer Maia,162.56,56.7,162.56,Orthodox
Jonathan Martinez,172.72,61.23,177.8,Southpaw
Adrian Yanez,170.18,61.23,177.8,Orthodox
Andre Petroski,182.88,83.91,185.42,Switch
Darren Elkins,177.8,65.77,180.34,Orthodox
TJ Brown,175.26,65.77,182.88,Switch
Tainara Lisboa,170.18,61.23,170.18,Orthodox
Ravena Oliveira,165.1,61.23,165.1,Orthodox
Terrance McKinney,177.8,70.31,185.42,Switch
Brendon Marotte,175.26,65.77,177.8,Orthodox
Irina Alekseeva,172.72,61.23,170.18,Orthodox
Melissa Dixon,170.18,61.23,172.72,Orthodox
Alatengheili,165.1,61.23,167.64,Orthodox
Ashley Yoder,170.18,52.16,175.26,Southpaw
Emily Ducote,157.48,52.16,160.02,Orthodox
Grant Dawson,177.8,70.31,182.88,Switch
Abdul Razak Alhassan,177.8,83.91,185.42,Orthodox
Alex Morono,180.34,77.11,182.88,Orthodox
Joaquin Buckley,177.8,77.11,193.04,Southpaw
