name,height,weight,reach,stance
Tony Ferguson,180.34,70.31,193.04,1
Paddy Pimblett,177.8,70.31,185.42,1
Josh Emmett,167.64,65.77,177.8,1
Bryce Mitchell,177.8,65.77,177.8,3
Alonzo Menifield,182.88,92.99,193.04,1
Dustin Jacoby,190.5,92.99,193.04,1
Irene Aldana,175.26,61.23,172.72,1
Karol Rosa,165.1,61.23,170.18,1
Cody Garbrandt,172.72,61.23,165.1,1
Brian Kelleher,167.64,61.23,167.64,4
Casey O'Neill,167.64,56.7,175.26,1
Ariane Lipski,167.64,56.7,170.18,1
Tagir Ulanbekov,170.18,56.7,177.8,3
Cody Durden,170.18,56.7,170.18,3
Lucas Almeida,180.34,65.77,180.34,1
Martin Buday,193.04,120.2,195.58,1
Chris Gutierrez,175.26,61.23,170.18,1
Anthony Smith,193.04,92.99,193.04,1
Khalil Rountree Jr.,185.42,92.99,193.04,3
Nasrat Haqparast,177.8,70.31,182.88,3
Jamie Mullarkey,182.88,70.31,187.96,1
Tim Elliott,170.18,56.7,167.64,3
Sumudaerji,172.72,56.7,182.88,3
JunYong Park,177.8,83.91,185.42,1
Andre Muniz,185.42,83.91,198.12,3
Song Kenan,182.88,77.11,180.34,1
Kevin Jousset,187.96,77.11,190.5,1
HyunSung Park,170.18,56.7,167.64,1
Shannon Ross,167.64,56.7,167.64,4
Steve Garcia,182.88,70.31,190.5,3
Melquizael Costa,177.8,70.31,180.34,3
Luana Santos,167.64,61.23,170.18,1
Stephanie Egger,167.64,61.23,172.72,1
Tatsuro Taira,170.18,56.7,177.8,1
Carlos Hernandez,172.72,56.7,170.18,1
Rayanne Amanda,157.48,52.16,157.48,1
Talita Alencar,154.94,52.16,147.32,1
Beneil Dariush,177.8,70.31,182.88,3
Arman Tsarukyan,170.18,70.31,182.88,1
Jalin Turner,190.5,70.31,195.58,3
Bobby Green,177.8,70.31,180.34,1
Rob Font,172.72,61.23,180.34,1
Deiveson Figueiredo,165.1,61.23,172.72,1
Sean Brady,177.8,77.11,182.88,1
Kelvin Gastelum,175.26,77.11,180.34,3
Clay Guida,170.18,70.31,177.8,1
Joaquim Silva,172.72,70.31,175.26,3
Punahele Soriano,180.34,83.91,182.88,3
Dustin Stoltzfus,182.88,83.91,190.5,1
Miesha Tate,167.64,61.23,165.1,1
Julia Avila,170.18,61.23,172.72,1
Zach Reese,193.04,83.91,195.58,4
Cody Brundage,182.88,83.91,182.88,1
Drakkar Klose,175.26,70.31,177.8,1
Joe Solecki,175.26,70.31,177.8,1
Rodolfo Bellato,190.5,92.99,195.58,1
